address,categories,primaryCategories,city,country,latitude,longitude,name,postalCode,province,Price range,Aggregate rating,Rating color,Rating text,Votes
808 Water St,"Carry-out food,Caterers,Hot dog restaurants,Tex-mex restaurants,Southwestern restaurants,Hamburger restaurants,Mexican restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Pizza,Restaurant,Catering,Chinese restaurants",Accommodation & Food Services,Ketchikan,US,55.3445,-131.6533,Pizza Mill,99901,AK,4,4.7,Dark Green,Excellent,535
10160 Kenai Spur Hwy,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",Accommodation & Food Services,Kenai,US,60.561,-151.22925,Pizza Hut,99611,AK,4,4.5,Dark Green,Excellent,618
1991 Airport Way,"Carry-out food,Pizza Restaurants,Caterers,Restaurant delivery service,Chicken Wings,Catering Companies,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Pizza Place",Accommodation & Food Services,Fairbanks,US,64.8373,-147.7606,Pizza Hut,99701,AK,2,3,Orange,Average,6
1553 Bragaw St,"Asian Restaurants,Carry-out food,Japanese Restaurants,Chinese Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Asian restaurants,Japanese restaurants,Restaurants,Chinese restaurants",Accommodation & Food Services,Anchorage,US,61.2076,-149.8035,Sweet Pink Pepper,99508,AK,1,3.8,Yellow,Good,9
810 Row River Rd,"Restaurant,Carry-out food,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",Accommodation & Food Services,Cottage Grove,US,43.800839,-123.039401,Arby's,97424,OR,2,3.7,Yellow,Good,11
198 Central Avenue,"Hamburgers and Hot Dogs,American Restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,White Plains,US,41.03715,-73.77877,Nathan's Famous Hot Dogs,10606,NY,3,3.8,Yellow,Good,11
1914 Adams Ave,"Caterers,Japanese Restaurants,Hotels and motels,Chinese Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Banquet Halls & Reception Facilities,Banquet Halls and Reception Facilities,Family Style Restaurants,Restaurants,Asian Restaurants,Grocery Stores,Restaurant,Cocktail Lounges,Bar and Grills,Bar & Grills,Sushi Bars,Asian restaurants,Catering,Bars,Chinese restaurants",Accommodation & Food Services,La Grande,US,45.3222,-118.0848,Moy's Dynasty Restaurant,97850,OR,2,3.2,Orange,Average,11
8429 W Center Rd,"Carry-out food,American Restaurant,American restaurants,Fast Food Restaurants,Fast Food,Karaoke,Restaurants,Delis And Delicatessens,Restaurant,Fast Food Restaurant,Traditional American,wich Place,Sandwich Shops",Accommodation & Food Services,Omaha,US,41.233837,-96.04496,Arby's,68124,NE,3,3.1,Orange,Average,10
1808 Ashville Road,"Fast Food Restaurants,Chicken Restaurants,Restaurants",Accommodation & Food Services,Leeds,US,33.56184,-86.52249,Chick-fil-A,35094,AL,3,3.7,Yellow,Good,8
303 9th Ave SW,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Lafayette,US,32.88285,-85.40805,Jack's Family Restaurants,36862,AL,4,3.7,Yellow,Good,5
503 1st Ave W,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Reform,US,33.38099,-88.02008,Jack's Family Restaurants,35481,AL,1,0,White,Not rated,2
302 W Bypass,"Delis And Delicatessens,Restaurant,Carry-out food,Caterers,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Catering,Restaurants,Sandwich Shops",Accommodation & Food Services,Andalusia,US,31.30987,-86.49962,Subway,36420,AL,4,4.1,Green,Very Good,12
5356 Highway 67 S,"Carry-out food,Service stations,Barbecued poultry,American restaurants,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Barbecue,Convenience Stores,Spare rib restaurants,Restaurants",Accommodation & Food Services,Somerville,US,34.44567,-86.75545,Krispy Krunchy Chicken,35670,AL,4,3.1,Orange,Average,9
9433 Highway 431 S,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Accommodation & Food Services,Owens Cross Roads,US,34.57064,-86.44759,Subway,35763,AL,3,3.6,Yellow,Good,9
505 E Cumming Avenue,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Opp,US,31.28001,-86.25011,Burger King,36467,AL,4,4.3,Green,Very Good,29
910 2nd Ave E,"Carry-out food,Caterers,Barbecued poultry,American restaurants,Fast Food Restaurants,Take Out Restaurants,Barbecue,Chicken Restaurants,Spare rib restaurants,Catering,Restaurants",Accommodation & Food Services,Oneonta,US,33.95433,-86.46733,Kfc,35121,AL,4,4.2,Green,Very Good,17
639 Northgate Dr NW,"Pizza,Restaurant,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Fast Food Restaurants,Take Out Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",Accommodation & Food Services,Arab,US,34.33266,-86.50455,Pizza Hut,35016,AL,4,3.6,Yellow,Good,5
1624 Temple Ave N,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Restaurant,Pizza Place,Catering",Accommodation & Food Services,Fayette,US,33.70698,-87.82406,Pizza Hut,35555,AL,4,4,Green,Very Good,10
6707 Highway 431 S Ste 104,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Accommodation & Food Services,Owens Cross Roads,US,34.65901,-86.48167,Subway,35763,AL,4,3.2,Orange,Average,6
7290 Us Highway 43,"Breakfast Brunch and Lunch Restaurants,Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Restaurants,Hamburgers & Hot Dogs,Burger Joint,Fast Food Restaurant,Family style restaurants,Hamburgers and Hot Dogs,Breakfast Brunch & Lunch Restaurants",Accommodation & Food Services,Guin,US,33.96641,-87.91083,Jack's,35563,AL,4,4.9,Dark Green,Excellent,30
1001 Fort Dale Road,"American Restaurants,Barbecue Restaurants,Caterers,Fast Food Restaurants,Restaurants,Sandwich Shops,Soul Food Restaurants,Take Out Restaurants",Accommodation & Food Services,Greenville,US,31.85179,-86.64201,Bates House Of Turkey Inc,36037,AL,4,3.3,Orange,Average,8
9400 Grand Bay Wilmer Rd S,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Grand Bay,US,30.49509,-88.33755,Hardee's,36541,AL,2,3.6,Yellow,Good,9
890 Odum Road,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Accommodation & Food Services,Gardendale,US,33.64677,-86.8234,McDonald's,35071,AL,4,4,Green,Very Good,7
1020 Decatur HWay,"Carry Out Food,American Restaurants,Hot Dog Stands and Restaurants,Take Out Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Gardendale,US,33.65271,-86.8105,Sonic Drive-In,35071,AL,4,4.8,Dark Green,Excellent,29
704 Highway 28 W,"Restaurant,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Livingston,US,32.6243,-88.20632,McDonald's,35470,AL,3,4.7,Dark Green,Excellent,24
423 Highway 28 W,"Pizza,Restaurant,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",Accommodation & Food Services,Livingston,US,32.62111,-88.1965,Pizza Hut,35470,AL,3,4.5,Dark Green,Excellent,29
527 Bald Eagle Dr,"Caterers,Seafood restaurants,Steak and chop restaurants,Crabs and crab houses,Restaurant Delivery Service,American restaurants,Seafood,Karaoke,Fast Food Restaurants,Take Out Restaurants,Family Style Restaurants,Restaurants,Restaurant,Steak Houses,Night Clubs,Bars",Accommodation & Food Services,Marco Island,US,25.9509,-81.7228,Kretch's Restaurant,34145,FL,4,4.2,Green,Very Good,11
720 Main St NE,"Delis And Delicatessens,Carry-out food,Delicatessens,wich Place,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Hanceville,US,34.07124,-86.77643,Subway,35077,AL,3,4.8,Dark Green,Excellent,19
1108 21st Street,"Breakfast Brunch and Lunch Restaurants,American Restaurants,Burgers,Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Family Friendly Restaurants,Restaurants",Accommodation & Food Services,Haleyville,US,34.2277,-87.62024,Jack's,35565,AL,4,4.9,Dark Green,Excellent,40
7909 Crestwood Boulevard,"Fast Food,Fast Food Restaurants,Take Out Restaurants,Chicken,Chicken Restaurants,Restaurants",Accommodation & Food Services,Birmingham,US,33.53055,-86.71381,Kfc,35210,AL,3,4.6,Dark Green,Excellent,21
325 S Eufaula Avenue,"Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants",Accommodation & Food Services,Eufaula,US,31.89056,-85.14549,Church's Chicken,36027,AL,4,4.9,Dark Green,Excellent,49
113 Will Garrett Road,"Fast Food Restaurants,Restaurants,Sandwich Shops",Accommodation & Food Services,Toomsuba,US,32.4116,-88.50533,Arby's,39364,MS,4,4.6,Dark Green,Excellent,21
930 N Washington Street,"American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Livingston,US,32.60197,-88.18293,Sonic Drive-In,35470,AL,3,4.3,Green,Very Good,14
5375 Highway 68 W,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Collinsville,US,34.267956,-85.86197,Jack's Family Restaurants,35961,AL,4,4,Green,Very Good,5
1655 W Main Street,"Fast Food Restaurants,American Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Hot Dog Stands and Restaurants,Restaurants,Take Out Restaurants",Accommodation & Food Services,Centre,US,34.15898,-85.70809,Sonic Drive-In,35960,AL,4,4.6,Dark Green,Excellent,25
650 Cedar Bluff Road,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Accommodation & Food Services,Centre,US,34.16017,-85.6682,McDonald's,35960,AL,4,4.4,Green,Very Good,13
5094 Louina Road,"American Restaurants,Breakfast Brunch and Lunch Restaurants,,Family Style Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Sandwich Shops,Take Out Restaurants",Accommodation & Food Services,Roanoke,US,33.11864,-85.45195,Big Boys,36274,AL,2,4.2,Green,Very Good,7
801 Us Highway 80 W,"Hamburgers & Hot Dogs,Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Demopolis,US,32.49789,-87.84711,Jack's Family Restaurants,36732,AL,4,4.2,Green,Very Good,8
55 Birmingham Road,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Centreville,US,32.950325,-87.11924,Jack's Family Restaurants,35042,AL,3,0,White,Not rated,1
3821 Airport Blvd,"Asian Restaurants,Restaurant,Carry-out food,Thai Restaurants,American restaurants,Thai restaurants,Take Out Restaurants,Fast Food Restaurants,Take out restaurants,Restaurants",Accommodation & Food Services,Mobile,US,30.6758,-88.1419,Bangkok Thai Cuisine,36608,AL,4,4.7,Dark Green,Excellent,44
5535 15th Ave E,"Food and Beverage Delivery,Carry-out food,Caterers,Restaurant delivery service,Takeout,Steak and chop restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Take out restaurants,Restaurants,Barbecued poultry,Barbecue Restaurants,Barbecue,Spare rib restaurants,Catering,Chicken restaurants",Accommodation & Food Services,Tuscaloosa,US,33.1565,-87.5163,Dreamland Bar B Que,35405,AL,3,4.6,Dark Green,Excellent,24
2400 6th Ave Se,"Pizza,Italian Restaurant,Caterers,Italian Grocery Stores,American restaurants,Take Out Restaurants,Fast Food Restaurants,Italian restaurants,Pizza Place,Catering,Restaurants",Accommodation & Food Services,Decatur,US,34.564526,-86.972877,Alfonso's Pizza Italian Restaurant,35601,AL,3,4.3,Green,Very Good,10
45 Lakeview Circle,"Restaurant,American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Atmore,US,31.106,-87.47561,Sonic Drive-In,36502,AL,4,4.5,Dark Green,Excellent,49
202 Memorial Pkwy NE,"Hamburgers & Hot Dogs,Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Aliceville,US,33.12734,-88.14985,Jack's Family Restaurants,35442,AL,4,4.4,Green,Very Good,17
5707 Veterans Memorial Drive,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Adamsville,US,33.60968,-86.96368,Jack's Family Restaurants,35005,AL,3,3.1,Orange,Average,5
160 Vaughan Lane,"Fast Food Restaurants,Restaurants",Accommodation & Food Services,Pell City,US,33.60972,-86.28005,Arby's,35125,AL,4,4.1,Green,Very Good,15
1104 2nd Ave E,"Carry Out Food,Ice Cream and Frozen Desserts,Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Oneonta,US,33.95857,-86.46367,Dairy Queen,35121,AL,4,4.8,Dark Green,Excellent,59
18 Big Valley Drive,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Alexandria,US,33.78078,-85.89649,Jack's Family Restaurants,36250,AL,4,4.6,Dark Green,Excellent,30
7750 Airport Boulevard,"American Restaurants,Takeout,Fast Food,Fast Food Restaurants,Concession Stands,Restaurants,Sandwich Shops",Accommodation & Food Services,Mobile,US,30.68421,-88.22378,Arby's,36608,AL,3,3.9,Yellow,Good,5
100 N Craft HWay,"American Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Mobile,US,30.76164,-88.07332,Whataburger,36611,AL,2,0,White,Not rated,0
5192 Caldwell Mill Road,"Fast Food Restaurants,Mexican Restaurants,Restaurants",Accommodation & Food Services,Birmingham,US,33.3848,-86.73919,Taco Bell,35244,AL,4,3.4,Orange,Average,73
136 Marketplace Cir Ste C,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants",Accommodation & Food Services,Calera,US,33.15574,-86.74734,Pizza Hut,35040,AL,4,3.5,Yellow,Good,9
113 Greenhill Blvd NW,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Fort Payne,US,34.46644,-85.70053,Jack's Family Restaurants,35967,AL,4,4.3,Green,Very Good,39
208 Main Saint E,"Carry Out Food,American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Rainsville,US,34.49215,-85.84452,Sonic Drive-In,35986,AL,4,3.9,Yellow,Good,12
200 Main St W Ste 102,"Pizza,Carry-out food,Restaurant,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Rainsville,US,34.4957,-85.84983,Pizza Hut,35986,AL,4,4.3,Green,Very Good,68
1003 Highway 231 S,"Delis And Delicatessens,Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",Accommodation & Food Services,Troy,US,31.78473,-85.96336,Subway,36081,AL,4,4.3,Green,Very Good,46
3029 Allison Bonnett Memorial Dr Ste 109,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants",Accommodation & Food Services,Bessemer,US,33.45073,-86.97938,Pizza Hut,35023,AL,4,4.4,Green,Very Good,37
2181 Highway 78,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Dora,US,33.75616,-87.06325,Jack's Family Restaurants,35062,AL,3,0,White,Not rated,2
80 Highway 195,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Jasper,US,33.85424,-87.28822,Jack's Family Restaurants,35503,AL,2,0,White,Not rated,2
821 Highway 78 W,"American Restaurants,Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants",Accommodation & Food Services,Jasper,US,33.84866,-87.28365,Guthries,35501,AL,4,4.4,Green,Very Good,22
2885 Memorial Pkwy NW,"Mexican Restaurant,Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Huntsville,US,34.76119,-86.59108,Taco Bell,35810,AL,3,4.6,Dark Green,Excellent,58
6212A Old Madison Pike NW,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",Accommodation & Food Services,Huntsville,US,34.713165,-86.65868,Subway,35806,AL,4,4.1,Green,Very Good,11
6140 University Dr NW,"Delis And Delicatessens,Restaurant,wich Place,Fast Food Restaurants,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Accommodation & Food Services,Huntsville,US,34.74619,-86.67575,Subway,35806,AL,2,3.3,Orange,Average,35
3711 Us Highway 431 S,"Fast Food Restaurants,Chicken Restaurants,Restaurants",Accommodation & Food Services,Phenix City,US,32.42211,-85.03987,Chick-Fil-A,36869,AL,1,3.3,Orange,Average,25
3709 Highway 280 431 N,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Accommodation & Food Services,Phenix City,US,32.49808,-85.04433,McDonald's,36867,AL,1,3.4,Orange,Average,34
3874 Saint Marys Road,"Fast Food Restaurants,Pizza,Restaurants,Sandwich Shops",Accommodation & Food Services,Columbus,US,32.44588,-84.92876,Jerry's Subs and Pizza,31906,GA,1,3.4,Orange,Average,45
1707 Wynnton Road,"Carry Out Food,Fast Food,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Columbus,US,32.46804,-84.96781,Wendy's,31906,GA,1,3.4,Orange,Average,26
414 3rd St,"Asian Restaurants,Restaurant,Chinese Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Asian restaurants,Japanese restaurants,Buffet Restaurants,Restaurants,Chinese restaurants",Accommodation & Food Services,Fairbanks,US,64.8466,-147.7005,Ak Buffet,99701,AK,1,3.4,Orange,Average,36
2808 Avenue S,"Sandwich Shops,Fast Food Restaurants",Accommodation & Food Services,Birmingham,US,33.505974,-86.89299,Jimmy John's,35218,AL,1,3.5,Yellow,Good,67
2808 7th Ave S Ste 113,"Carry-out food,Restaurant,Caterers,Delicatessens,Fast Food Restaurant,American restaurants,Gourmet shop restaurants,wich Place,Food Delivery Service,Restaurants,Sandwich Shops",Accommodation & Food Services,Birmingham,US,33.51169,-86.78845,Jimmy John's,35233,AL,1,3.9,Yellow,Good,141
1449 Montgomery HWay,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Birmingham,US,33.41926,-86.80079,Hardee's,35216,AL,2,3.7,Yellow,Good,147
310 Summit Blvd Ste 106,"Sandwich Shops,Fast Food Restaurants,Restaurants,Take Out Restaurants",Accommodation & Food Services,Birmingham,US,33.45069,-86.72996,Which Wich,35243,AL,4,3.5,Yellow,Good,51
1077 Highway 119,"Carry-out food,Barbecued poultry,American restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Barbecue,Spare rib restaurants,Restaurants",Accommodation & Food Services,Alabaster,US,33.23687,-86.81286,Church's Chicken,35007,AL,2,3.6,Yellow,Good,88
634 1st St N Ste 200,"Pizza,Carry-out food,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Pizza Place,Restaurants",Accommodation & Food Services,Alabaster,US,33.25046,-86.81478,Pizza Hut,35007,AL,1,3.8,Yellow,Good,153
5076 Highway 31,"Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Accommodation & Food Services,Calera,US,33.14812,-86.74937,Burger King,35040,AL,1,3.9,Yellow,Good,160
